year,quarter,state_name/ut_name,districts_name,registered_users
2022,4,karnataka,chamarajanagara district,265884
2022,4,karnataka,dakshina kannada district,1112661
2022,4,karnataka,hassan district,744993
2022,4,karnataka,dharwad district,1073312
2022,4,karnataka,shivamogga district,743138
2022,4,karnataka,udupi district,571724
2022,4,karnataka,gadag district,344405
2018,1,jharkhand,ramgarh district,37875
2018,1,jharkhand,ranchi district,159444
2018,1,jharkhand,east singhbhum district,103016
2018,1,jharkhand,jamtara district,10659
2018,1,jharkhand,dumka district,16027
2018,1,jharkhand,koderma district,21423
2018,1,jharkhand,hazaribagh district,56421
2018,1,jharkhand,simdega district,2983
2018,1,jharkhand,garhwa district,14981
2018,1,jharkhand,saraikela kharsawan district,31177
2018,1,jharkhand,gumla district,6616
2018,1,jharkhand,chatra district,11805
2018,1,jharkhand,khunti district,4037
2018,1,jharkhand,dhanbad district,130195
